feature,importance
cat__Route_LGA_BTV,0.0
cat__Route_LGA_BHM,0.0
cat__Route_LGA_BGR,0.0
cat__Route_JFK_RDU,0.0
cat__Route_JFK_RIC,0.0
cat__Route_JFK_RNO,0.0
cat__Route_ALB_DCA,0.0
cat__Route_ALB_BNA,0.0
cat__Dest_OKC,0.0
cat__Route_JFK_SDF,0.0
cat__Dest_XNA,0.0
cat__Dest_CHS,0.0
cat__Dest_CHO,0.0
cat__Route_JFK_SLC,0.0
cat__Route_JFK_SMF,0.0
cat__Route_JFK_SNA,0.0
cat__Dest_TYS,0.0
cat__Route_JFK_STT,0.0
cat__Route_ELM_SRQ,0.0
cat__Route_LGA_ACK,0.0
cat__Route_LGA_AGS,0.0
cat__Route_LGA_ALB,0.0
cat__Dest_CHA,0.0
cat__Route_LGA_AVL,0.0
cat__Route_LGA_CHA,0.0
